Go.,Va.
Call us.,Appelez-nous!
Call us.,Téléphone nous.
Call us.,Téléphonez nous.
Come in.,Entrez!
Drop it!,Laisse tomber!
Drop it!,Laissez tomber!
Drop it!,Laisse-le tomber!
Drop it!,Laissez-le tomber!
Get Tom.,Va chercher Tom.
Get out!,Sortez!
Get out!,Sors!
Get out!,Sortez!
Get out.,Sors.
Get out.,Casse-toi.
Go away!,Dégage!
Go away!,Pars!
Go away.,Va te faire foutre!
Go away.,Dégage!
Go away.,Fous le camp!
Go away.,Pars d'ici.
Go away.,Casse toi d'ici.
Go away.,Va t'en!
Go away.,Disparais!
Go away.,Allez-vous en!
Go home.,Rentrez à la maison.
Go home.,Rentre à la maison.
Go home.,Rentre chez toi.
Go home.,Rentrez chez vous.
Go slow.,Va doucement!
Go slow.,Allez doucement!
Goodbye!,Adieu!
Goodbye!,À la revoyure.
Hang on!,Attends un peu!
Hang on!,Attendez un peu!
Hang on.,Tiens bon!
Hang on.,Tenez bon!
He quit.,Il laissa tomber.
He quit.,Il a laissé tomber.
He runs.,Il court.
Help me!,Aide-moi!
Help me.,Aide-moi.
Help me.,Aidez-moi.
Help us.,Aidez-nous!
Help us.,Aide-nous!
Hold it!,Ne bouge plus!
Hold on.,Ne quittez pas.
Hug Tom.,Fais un calin à Tom.
I agree.,Je suis du même avis.
I cried.,J'ai pleuré.
I dozed.,Je me suis assoupi.
I dozed.,Je me suis assoupie.
I drive.,Je conduis.
I smoke.,Je fume.
I snore.,Je ronfle.
I stink.,Je pue.
I stood.,Je me suis tenu debout.
I stood.,Je me suis tenue debout.
I swore.,J'ai promis.
I swore.,J'ai juré.
I tried.,J'essayai.
I tried.,J'ai essayé.
Keep it.,Garde-le!
I'm Tom.,Je suis Tom.
I'm fat.,Je suis gras.
I'm fat.,Je suis gros.
I'm fit.,Je suis en forme.
I'm hit!,Je suis touche!
I'm hit!,Je suis touchée!
I'm ill.,Je suis malade.
I'm sad.,Je suis triste.
I'm shy.,Je suis timide.
I'm wet.,Je suis mouillé.
Join us.,Joignez-vous.
Join us.,Joignez-vous à nous.
Keep it.,Gardez-le!
Kiss me.,Embrasse-moi.
Kiss me.,Embrassez-moi.
Me too.,Moi aussi.
Open up.,Ouvre-moi!
Open up.,Ouvre.
Perfect!,Parfait!
See you!,À plus tard!
See you!,À bientôt!
See you!,A la prochaine!
See you.,À plus.
Show me.,Montre-moi!
Show me.,Montrez-moi!
Shut up!,Taisez-vous!
Shut up!,Ferme-la!
Shut up!,Tais-toi!
Shut up!,Ferme-la!
Shut up!,La ferme!
Skip it.,Pas grave.
So long.,À plus tard!
Take it.,Prends-le!
Take it.,Prenez-le!
Tell me.,Dis-moi!
Tell me.,Dites-moi!
Tom won.,Tom a gagné.
Wake up!,Réveille-toi!
Wake up!,Réveille-toi!
Wake up.,Réveille-toi!
Wake up.,Réveillez-vous!
Wash up.,Lave-toi!
Wash up.,Lavez-vous!
We know.,Nous savons.
I know.,Je sais.
We lost.,Nous perdîmes.
We lost.,Nous avons perdu.
We lost.,Nous fûmes battus.
We lost.,Nous fûmes battues.
We lost.,Nous fûmes défaits.
We lost.,Nous fûmes défaites.
We lost.,Nous avons été défaits.
We lost.,Nous avons été défaites.
We lost.,Nous avons été battus.
We lost.,Nous avons été battues.
Welcome.,Bienvenue!
Who won?,Qui a gagné?
Who won?,Qui l'a emporté?
You run.,Tu cours.
Am I fat?,Suis-je gros ?
Am I fat?,Suis-je grosse ?
Ask them.,Demande-leur.
Ask them.,Demandez-leur.
Back off!,Recule!
Back off!,Reculez.
Back off.,Recule!
Back off.,Reculez.
Back off.,Retire-toi!
Back off.,Retirez-vous.
Be a man.,Sois un homme!
Be a man.,Soyez un homme!
Be still.,Sois calme!
Be still.,Soyez calme!
Be still.,Soyez calmes!
Beats me.,Aucune idée.
Beats me.,J'en sais foutre rien.
Call Tom.,Appelle Tom.
Call Tom.,Appelez Tom.
Cheer up!,Courage!
Cool off!,Détends-toi!
Cuff him.,Menottez-le.
Drive on.,Avance!
Drive on.,Avancez!
Drive on.,Avancez!
Drive on.,Continue à rouler!
Fix this.,Répare ça.
Get down!,Lâche-toi!
Get down.,Descendez!
Get down.,Lâche-toi!
Get lost!,Va voir ailleurs si j'y suis!
Get lost!,Dégage!
Get lost!,Va au diable!
Get real!,Sois réaliste!
Go ahead!,Passe devant!
Go ahead!,Vas-y!
Go ahead.,Poursuis!
Go ahead.,Passe devant!
Good job!,Bien joué!
Good job!,Bon boulot!
Good job!,Beau travail!
Have fun.,Amuse-toi bien!
Have fun.,Amusez-vous bien!
He's wet.,Il est mouillé.
Help Tom.,Aide Tom.
Help Tom.,Aidez Tom.
How cute!,Comme c'est mignon!
How nice!,Comme c'est chouette!
How nice!,Comme c'est gentil!
How nice!,C'est du joli!
How nice!,Comme c'est agréable!
Hurry up.,Dépêche-toi.
Hurry up.,Grouille!
Hurry up.,Pressez-vous!
Hurry up.,Fiça!
I did it.,C'est moi qui l'ai fait.
I failed.,J'ai échoué.
I get it.,J'ai compris.
I got it.,J'ai capté.
I helped.,J'ai aidé.
I moaned.,J'ai râlé.
I nodded.,J'ai fait signe de la tête.
I phoned.,Je téléphonai.
I phoned.,J'ai téléphoné.
I refuse.,Je refuse.
I refuse.,Je le refuse.
I rested.,Je me suis reposé.
I rested.,Je me suis reposée.
I saw it.,Je l'ai vu.
I sighed.,J'ai soupiré.
I stayed.,Je suis resté.
I stayed.,Je suis restée.
I use it.,Je l'utilise.
I use it.,J'en fais usage.
I use it.,Je m'en sers.
I'll try.,Je vais essayer.
I'll try.,J'essaierai.
I'm back.,Je suis revenu.
I'm back.,Me revoilà.
I'm busy.,Je suis occupé.
I'm busy.,Je suis occupée.
I'm cold.,J'ai froid.
I'm cool.,Je suis détendu.
I'm deaf.,Je suis sourd.
I'm deaf.,Je suis sourde.
I'm fair.,Je suis juste.
I'm fair.,J'ai la peau claire.
I'm fine.,Ça va.
I'm free.,Je suis libre.
I'm full.,Je suis rassasié!
I'm game.,Je suis de la partie.
I'm lazy.,Je suis paresseux.
I'm lazy.,Je suis fainéant.
I'm lazy.,Je suis paresseuse.
I'm lazy.,Je suis fainéante.
I'm okay.,Je me porte bien.
I'm sure.,J'en suis certain.
I'm sure.,Je suis certain.
I'm sure.,J'en suis sûr.
I'm tidy.,Je suis ordonné.
I'm tidy.,Je suis ordonnée.
I'm ugly.,Je suis laide.
I'm well.,Je me porte bien.
I've won.,Je l'ai emporté.
It's fun.,C'est rigolo.
It's fun.,C'est amusant.
It's his.,C'est la sienne.
It's new.,C'est neuf.
Keep out!,Défense d'entrer.
Kiss Tom.,Embrasse Tom.
Leave us.,Laisse-nous!
Leave us.,Laissez-nous!
Look out!,Regarde donc!
Marry me.,Épousez-moi!
Save Tom.,Sauvez Tom.
Sit down!,Asseyez-vous!
Sit down.,Assieds-toi.
Sit here.,Asseyez-vous ici.
Speak up!,Parlez plus fort!
Stop Tom.,Stoppez Tom.
Taste it.,Goûte-la.
Taste it.,Goûtez-le.
Taste it.,Goûtez-la.
Terrific!,Génial!
Terrific!,Excellent!
They won.,Ils gagnèrent.
They won.,Elles gagnèrent.
They won.,Elles ont gagné.
Tom died.,Tom est mort.
Tom left.,Tom est parti.
Tom left.,Tom partit.
Tom lies.,Tom ment.
Tom lost.,Tom a perdu.
Tom paid.,Tom a payé.
Too late.,Trop tard.
Trust me.,Fais-moi confiance.
Try some.,Essayez-en!
Try this.,Essayez ceci!
Use this.,Utilisez ceci.
Use this.,Emploie ceci!
Use this.,Employez ceci!
Warn Tom.,Préviens Tom.
Watch me.,Regardez-moi!
Watch us.,Regardez-nous!
Watch us.,Regarde-nous!
We'll go.,Nous irons.
What for?,À quoi bon?
Who quit?,Qui démissionne?
Who's he?,Qui est-il?
Write me.,Écrivez-moi!
You lost.,Vous avez perdu.
After you.,Après vous.
Aim. Fire!,En joue! Feu!
Am I late?,Suis-je en retard?
Answer me.,Répondez-moi.
Be seated.,Assieds-toi!
Be seated.,Asseyez-vous!
Birds fly.,Les oiseaux volent.
Bless you.,À tes souhaits!
Call home!,Appelle à la maison!
Calm down!,Calmez-vous!
Calm down.,Calme-toi.
Can we go?,Pouvons-nous partir?
Can we go?,Pouvons-nous y aller?
Catch Tom.,Attrapez Tom.
Catch him.,Rattrape-le.
Chill out.,Calme-toi.
Come back.,Reviens!
Come back.,Revenez!
Come here.,Viens ici.
Come here.,Venez là.
Come over!,Venez!
Come over.,Venez ici!
Come over.,Viens chez nous!
Come over.,Venez chez nous!
Come over.,Viens chez moi!
Come over.,Venez chez moi!
Come soon.,Viens bientôt!
Come soon.,Venez bientôt!
Did I win?,L'ai-je emporté?
Did I win?,Est-ce moi qui ai gagné?
Dogs bark.,Des chiens aboient.
Dogs bark.,Les chiens aboient.
Don't cry.,Ne pleure pas!
Don't die.,Ne meurs pas!
Don't die.,Ne mourez pas!
Don't run.,Ne courez pas.
Don't run.,Ne cours pas.
Excuse me.,Excusez-moi.
Excuse me?,Pardon?
Excuse me?,Plaît-il?
Excuse me?,Plait-il?
Excuse me?,Pardon?
Fantastic!,Fantastique!
Feel this.,Sens ça!
Feel this.,Sentez ça!
Feel this.,Touche ça!
Feel this.,Touchez ça!
Follow me.,Suis-moi.
Follow us.,Suis-nous!
Follow us.,Suivez-nous!
Forget it!,Oublie!
Forget it!,Oublie-le!
Forget it!,Oubliez!
Forget it!,Oubliez-le!
Forget it.,Laisse tomber.
Forget it.,Oublie-le!
Get a job.,Trouve un emploi!
Get a job.,Trouve un boulot!
Get a job.,Trouvez un emploi!
Get ready.,Prépare-toi.
Get ready.,Préparez-vous.
Go get it.,Allez le chercher!
Go inside.,Entrez!
Go to bed.,Va au lit!
Go to bed.,Allez au lit!
Good luck.,Bonne chance!
Good luck.,Bonne chance.
Grab that.,Attrape ça!
Grab that.,Attrapez ça!
Grab that.,Saisis-toi de ça!
Grab that.,Saisissez-vous de ça!
Grab this.,Attrape ça!
Grab this.,Attrapez ça!
Hands off.,Pas touche!
He is ill.,Il est malade.
He is old.,Il est vieux.
He's a DJ.,Il est DJ.
He's good.,Il est bon.
He's lazy.,Il est paresseux.
He's rich.,Il est riche.
He's sexy.,Il est sexy.
Here I am.,Me voici.
Here's $5.,Voilà cinq dollars.
Hold fire.,Halte au feu!
Hold fire.,Cessez le feu!
Hold this.,Tiens ça!
Hold this.,Tenez ça!
Hold this.,Tenez ceci!
Hold this.,Tiens ceci!
How awful!,C'est affreux!
How weird!,Comme c'est bizarre!
How's Tom?,Comment va Tom?
I am cold.,J'ai froid.
I am good.,Je suis bon.
I am okay.,Je vais bien.
I am sick.,Je suis malade.
I am sure.,Je suis sûr.
I am sure.,Je suis certain.
I beg you.,Je vous en conjure.
I beg you.,Je vous en supplie.
I beg you.,Je te prie.
I can run.,Je sais courir.
I can ski.,Je sais skier.
I cringed.,J'eus un mouvement de recul.
I cringed.,J'ai eu un mouvement de recul.
I cringed.,Je suis rentré en moi-même.
I gave up.,J'ai abandonné.
I give in.,Je donne ma langue au chat.
I give up.,J'abandonne.
I got hot.,Je me suis mis à avoir chaud.
I got hot.,Je me suis mise à avoir chaud.
I had fun.,Je me suis amusé.
I had fun.,Je me suis amusée.
I had fun.,Je me suis marré.
I had fun.,Je me suis marrée.
I hate it.,Je déteste ça.
I have it.,Je l'ai.
I hit Tom.,J'ai frappé Tom.
I hope so.,J'espère bien.
I hurried.,Je me suis dépêché.
I hurried.,Je me suis dépêchée.
I inhaled.,J'ai inspiré.
I knew it.,Je le savais.
I like it.,J'aime ça.
I lost it.,Je l'ai perdu.
I love it!,J'adore ça!
I love it.,J'adore ça!
I mean it!,Je suis sérieux!
I mean it.,Je suis sérieux.
I must go.,Je dois y aller.
I must go.,Il faut que j'y aille.
I must go.,Il me faut y aller.
I must go.,Il me faut partir.
I must go.,Il me faut m'en aller.
I must go.,Je dois partir.
I must go.,Je dois m'en aller.
I must go.,Il faut que je m'en aille.
I need it.,J'en ai besoin.
I need it.,Il me le faut.
I noticed.,J'ai remarqué.
I prepaid.,J'ai payé d'avance.
I promise.,Je le promets.
I relaxed.,Je me suis détendu.
I relaxed.,Je me suis détendue.
I retired.,J'ai pris ma retraite.
I said no.,J'ai dit non.
I said so.,Je l'ai dit.
I saw him.,Je l'ai vu.
I saw him.,Je le vis.
I saw one.,J'en ai vu une.
I saw one.,J'en ai vu un.
I saw you.,Je vous vis.
I saw you.,Je te vis.
I saw you.,Je t'ai vue.
I saw you.,Je t'ai vu.
I saw you.,Je vous ai vues.
I shouted.,J'ai crié.
I tripped.,J'ai trébuché.
I tripped.,J'ai plané.
I tripped.,J'ai trébuché.
I tripped.,J'ai plané.
I want it.,Je le veux.
I was new.,J'étais nouveau.
I was new.,J'étais nouvelle.
I will go.,J'irai.
I woke up.,Je me suis éveillé.
I'd agree.,Je serais d'accord.
I'd leave.,Je partirais.
I'll call.,J'appellerai.
I'll cook.,Je cuisinerai.
I'll help.,J'aiderai.
I'll live.,Je vivrai.
I'll obey.,J'obéirai.
I'll obey!,J'obéirai!
I'll pack.,Je ferai mon sac.
I'll pack.,Je ferai ma valise.
I'll pack.,Je plierai mes gaules.
I'll pass.,Je passerai.
I'll walk.,Je marcherai.
I'll quit.,J'abandonnerai.
I'll stop.,J'arrêterai.
I'll swim.,Je nagerai.
I'll talk.,Je parlerai.
I'll talk.,Je vais parler.
I'll wait.,J'attendrai.
I'll work.,Je vais travailler.
I'll work.,Je travaillerai.
I'm a cop.,Je suis flic.
I'm a man.,Je suis un homme.
I'm alive.,Je suis en vie.
I'm alive.,Je suis vivant.
I'm alive.,Je suis vivante.
I'm alone.,Je suis seule.
I'm alone.,Je suis seul.
I'm angry.,Je suis énervé.
I'm armed.,Je suis armé.
I'm armed.,Je suis armée.
I'm awake.,Je suis réveillé.
I'm blind.,Je suis aveugle.
I'm broke.,Je suis fauché.
I'm clean.,J'ai décroché.
I'm clean.,Je suis propre.
I'm crazy.,Je suis fou.
Are you crasy?,Tu es fou?
Are you crasy?,Tu es folle?
I'm crazy.,Je suis folle.
I'm cured.,Je suis guéri.
I'm cured.,Je suis guérie.
I'm dizzy.,J'ai la tête qui tourne.
I'm drunk.,Je suis saoul.
I'm drunk.,Je suis soûl.
I'm drunk.,Je suis ivre.
I'm dying.,Je me meurs.
I'm early.,Je suis en avance.
I'm lucky.,Je suis veinard.
I'm lucky.,Je suis veinarde.
I'm lucky.,J'ai du pot.
I'm lucky.,Je suis chanceux.
I'm lucky.,Je suis chanceuse.
I'm lying.,Je suis en train de mentir.
I'm naked.,Je suis nu.
I'm naked.,Je suis nue.
I'm naked.,Je me trouve nu.
I'm naked.,Je me trouve nue.
I'm quiet.,Je suis tranquille.
I'm ready!,Je suis prête!
I'm ready!,Je suis prêt!
I'm ready.,Je suis prêt.
I'm right.,J'ai raison.
I'm sober.,Je suis sobre.
I'm sorry.,Excuse-moi.
I'm sorry.,Désolé.
I'm sorry.,Excusez-moi.
I'm sorry.,Désolé!
I'm sorry.,Je suis désolé.
I'm sorry.,Je suis désolée.
I'm stuck.,Je suis coincée.
I'm timid.,Je suis timide.
I'm tired.,Je suis fatigué!
I'm tough.,Je suis dur.
I'm tough.,Je suis dure.
I'm tough.,Je suis dur à cuire.
I'm tough.,Je suis dure à cuire.
I'm yours.,Je suis à toi.
I'm yours.,Je suis à vous.
I've lost.,J'ai perdu.
Is Tom OK?,Est-ce que Tom va bien?
Is Tom OK?,Tom va-t-il bien?
Is it bad?,C'est grave?
Is it far?,Est-ce éloigné?
Is it you?,Est-ce vous?
Is it you?,Est-ce que c'est vous?
It failed.,Ça a échoué.
It is new.,C'est nouveau.
It is new.,C'est neuf.
It snowed.,Il a neigé.
It stinks.,Ça pue.
Let it be.,Ainsi soit-il.
Hello!,Bonjour!
I see.,Je comprends.
Attack!,Attaque!
Look at me.,Regarde moi.
Talk to Tom.,Parle a Tom.
Tell me.,Dis moi.
Find Tom.,Trouve Tom.
Find Tom.,Trouvez Tom.
Fix this.,Réparez ceci. 
Get down.,Descends!
Get down.,Lâchez-vous!
Get lost!,Casse toi!
Grab him.,Attrape-le.
He tries.,Il essaye.
Hi guys.,Salut les mecs!
How deep?,Quelle profondeur?
I did OK.,Je m'en suis bien sorti.
I did it.,Je l'ai fait.
I forgot.,J'ai oublié.
I jumped.,J'ai sauté.
I looked.,J'ai regardé.
I obeyed.,J'ai obéi.
I talked.,J'ai parlé.
I'll pay.,Je paierai.
I'm bald.,Je suis chauve.
I'm calm.,Je suis calme.
I'm done.,J'en ai fini.
Let it be.,Laisse faire.
Let me go!,Laisse-moi partir!
Let me go!,Laissez-moi partir!
Let me go!,Lâche-moi!
Let me go!,Lâchez-moi!
Let me go!,Laisse-moi m'en aller!
Let me go!,Laissez-moi m'en aller!
Let me go!,Laissez-moi y aller!
Let me go!,Laisse-moi y aller!
Let me go.,Laisse-moi partir!
Let me go.,Laissez-moi partir!
Let me go.,Laisse-moi m'en aller!
Let me go.,Laissez-moi m'en aller!
Let me in.,Laissez-moi rentrer.
Let me in.,Laissez-moi entrer.
Let's ask.,Demandons.
Let's eat.,Mangeons.
Let's see.,Voyons voir!
Lie still.,Reste allongé immobile!
Lie still.,Reste allongée immobile!
Lie still.,Restez allongé immobile!
Lie still.,Restez allongée immobile!
Lie still.,Restez allongés immobiles!
Lie still.,Restez allongées immobiles!
Look away.,Regardez ailleurs.
Look back!,Regarde derrière toi!
Look back!,Regarde derrière!
Look here.,Regarde ici.
Look here.,Regardez ici.
Loosen up.,Échauffe-toi!
Loosen up.,Échauffez-vous!
Loosen up.,Détends-toi!
Loosen up.,Laisse-toi aller!
Move over.,Bouge de là.
Move over.,Poussez-vous.
Move over.,Pousse-toi.
Nice shot!,Joli coup!
Of course!,Pour sûr.
Of course!,Mais ouais!
Of course!,Pardi!
Of course.,Bien sûr.
Of course.,Pour sûr.
Oh please!,Je vous en prie!
Oh please!,Je t'en prie!
Pardon me?,Pardon?
Pardon me?,Je vous demande pardon?
Pardon me?,Plaît-il?
Say hello.,Dis bonjour.
See above.,Voyez ci-dessus.
See below.,Voyez ci-dessous.
See below.,Voir ci-dessous.
Seize him!,Capturez-le!
Seize him!,Attrapez-le!
Seriously?,Vraiment?
Seriously?,Est-ce sérieux?
Seriously?,Sérieusement?
She cried.,Elle pleurait.
She cried.,Elle pleura.
She tried.,Elle a essayé.
She walks.,Elle marche.
She's hot.,Elle est chaude.
She's hot.,Elle est très attirante.
Sign here.,Signez ici.
Sign this.,Signe ça.
Sign this.,Signez ceci.
Slow down.,Ralentis!
Slow down.,Ralentissez!
Stay away.,Reste à l'écart.
Stay away.,Restez à l'écart.
Stay back.,Reste en arrière!
Stay calm.,Restez calme.
Stay calm.,Reste calme.
Stay calm.,Garde ton calme.
Stay calm.,Garde ton sang-froid.
Stay calm.,Reste tranquille.
Stay down!,Reste baissé.
Stay down!,Restez baissé.
Stay down.,Reste baissé.
Stay down.,Restez baissé.
Stay here.,Restez là!
Stay here.,Reste ici!
Stay here.,Restez ici.
Stay thin.,Reste mince!
Step back.,Recule!
Step back.,Reculez!
Step back.,Reculez!
Stop that!,Arrêtez!
Stop that.,Arrêtez ça!
Stop that.,Arrêtez ça!
Stop that.,Arrête ça!
Stop them.,Arrêtez-les.
Take care!,Prends soin de toi!
Take care!,Soyez prudente!
Take care.,Prends soin de toi.
Take care.,Prenez soin de vous.
Take mine.,Prends le mien.
Take mine.,Prends la mienne.
Take mine.,Prenez le mien.
Take mine.,Prenez la mienne.
Take mine.,Prends les miens.
Take mine.,Prends les miennes.
Take mine.,Prenez les miens.
Take mine.,Prenez les miennes.
Take this.,Prends ça.
Take this.,Prenez ça.
Thank you.,Merci!
Thank you.,Merci.
That's OK.,Pas de problème.
That's OK.,Ce n'est pas grave.
That's OK.,Ça va.
That's it.,C'est ça.
Then what?,Et alors?
They fell.,Ils sont tombés.
They fell.,Elles sont tombées.
They left.,Ils sont partis.
They left.,Elles sont parties.
They lied.,Ils ont menti.
They lied.,Elles ont menti.
They lost.,Ils ont perdu.
They lost.,Elles ont perdu.
They swam.,Ils nageaient.
They swam.,Elles nageaient.
They swam.,Ils nagèrent.
They swam.,Elles nagèrent.
Time's up.,Le temps est écoulé.
Tom cooks.,Tom cuisine.
Tom cried.,Tom pleura.
Tom is OK.,Tom va bien.
Tom knits.,Tom tricote.
Tom knows.,Tom sait.
Tom rocks.,Tom assure.
Tom spoke.,Tom a parlé.
Tom waved.,Tom a fait signe de la main.
Tom works.,Tom est en train de travailler.
Tom's fat.,Tom est gros.
Tom's mad.,Tom est en colère.
Tom's mad.,Tom est fou.
Trust Tom.,Fais confiance à Tom.
Trust Tom.,Faites confiance à Tom.
Try again.,Essaie encore.
Try again.,Essayez de nouveau.
Try again.,Essaie de nouveau.
Try it on.,Essaie-le!
Wait here.,Attends ici.
Wait here.,Attends là.
Wait here.,Attendez ici.
Wait here.,Attendez là.
Watch out!,Attention!
Watch out!,Faites attention!
Watch out!,Fais attention!
We agreed.,Nous sommes tombés d'accord.
We did it!,Nous avons réussi!
We did it.,Nous avons réussi!
We did it.,Nous l'avons fait.
We forgot.,Nous avons oublié.
We saw it.,Nous l'avons vu.
We talked.,Nous discutâmes.
We talked.,Nous avons discuté.
We talked.,Nous nous sommes entretenus.
We talked.,Nous nous sommes entretenues.
We talked.,Nous nous entretînmes.
We waited.,Nous attendîmes.
We waited.,Nous avons attendu.
We walked.,Nous sommes allés à pied.
We walked.,Nous sommes allées à pied.
We'll try.,Nous essayerons.
We'll try.,Nous tenterons.
We'll win.,Nous l'emporterons.
We'll win.,Nous gagnerons.
We're hot.,Nous avons chaud.
We're sad.,Nous sommes tristes.
We're shy.,Nous sommes timides.
Well done!,Bien vu!
Well done!,Bien cuit!
Well done!,À la bonne heure!
Well done!,Bien joué!
Well done!,Pas mal!
What's up?,Ça va?
What's up?,Quoi de beau?
Who cares?,Qui s'en préoccupe?
Who cares?,Qui s'en soucie?
Who cares?,À qui ceci importe-t-il?
Who is he?,Qui est-ce?
Who is he?,Qui est-il?
Who is it?,Qui est-ce?
Who is it?,Qui est-il?
Who knows?,Qui sait?
Who spoke?,Qui a parlé?
Who'll go?,Qui ira?
Who's Tom?,C'est qui Tom?
Who's ill?,Qui est malade?
Wonderful!,À la bonne heure!
Write Tom.,Écrivez à Tom.
You drive.,Tu conduis.
You drive.,Toi conduis!
You drive.,Vous conduisez.
You idiot!,Espèce d'imbécile!
You idiot!,Espèce d'idiot!
You start.,Tu commences.
You start.,Vous commencez.
You tried.,Tu as essayé.
You're OK.,Tu vas bien.
Aim higher.,Vise plus haut.
Aim higher.,Visez plus haut.
All aboard!,Tout le monde à bord!
Am I clear?,Suis-je clair?
Am I clear?,Suis-je claire?
Am I dying?,Suis-je en train de mourir?
Am I dying?,Suis-je en train de trépasser?
Am I early?,Suis-je en avance?
Am I fired?,Vous me mettez à la porte?
Am I fired?,Suis-je viré?
You are fired!,Vous etes virés!
Am I first?,Suis-je le premier?
Am I first?,Suis-je la première?
Am I hired?,Suis-je engagé?
Am I right?,Ai-je raison?
Am I right?,Suis-je dans le vrai?
Am I wrong?,Ai-je tort?
Am I wrong?,Est-ce que je me trompe?
Answer Tom.,Réponds à Tom.
Answer Tom.,Répondez à Tom.
Are you OK?,Est-ce que tu vas bien?
Are you up?,Es-tu levé?
Are you up?,Es-tu levée?
Are you up?,Etes-vous levé?
Are you up?,Etes-vous levée?
Are you up?,etes-vous levés?
Are you up?,Etes-vous levées?
Are you up?,Es-tu debout?
Ask anyone.,Demandez à n'importe qui.
Ask anyone.,Demande à n'importe qui.
Ask anyone.,Demande à quiconque!
Ask around.,Demande alentour!
Ask around.,Renseigne toi.
Ask around.,Demandez alentour!
Be careful!,Faites attention!
Turn left.,Tourne à gauche.
Be careful!,Fais attention!
Be careful!,Sois prudent!
Be careful!,Sois prudente!
Be careful!,Soyez prudent!
Be careful!,Soyez prudente!
Be careful!,Soyezprudents!
Be careful!,Soyez prudentes!
Be careful!,Fais gaffe!
Be careful.,Sois prudent!
Be careful.,Sois prudente!
Be careful.,Soyez prudente!
Be careful.,Soyez prudents!
Be careful.,Soyez prudentes!
Be content.,Sois satisfait!
Be content.,Sois satisfaite!
Be content.,Soyez satisfait!
Be content.,Soyez satisfaite!
Be content.,Soyez satisfaits!
Be content.,Soyez satisfaites!
Be on time.,Soyez à l'heure.
Be on time.,Sois à l'heure.
Be patient.,Sois patient.
Be serious.,Soyez sérieux!
Be serious.,Soyez sérieuse!
Be serious.,Soyez sérieuses!
Be serious.,Sois sérieux!
Be serious.,Sois sérieuse!
Birds sing.,Les oiseaux chantent.
Bottoms up!,Santé!
Bring food.,Apportez de la nourriture.
Bring food.,Apporte à manger.
Bring wine.,Apporte du vin.
Bring wine.,Apportez du vin.
Can I come?,Puis-je venir?
Can I help?,Puis-je aider?
Carry this.,Porte-le.
Check that.,Vérifie ça.
Check that.,Regarde ça.
Check that.,Vérifiez cela.
Check this.,Vérifie ça.
Check this.,Regarde ça.
Choose one.,Choisis-en un.
Choose one.,Choisis-en une.
Come again.,Revenez nous voir.
Come again.,Reviens nous voir.
Come alone.,Viens seul!
